Ronda;Equipo 1;Cant. Goles 1;Cant. Goles 2;Equipo 2
1;Argentina;1;2;Arabia Saudita
1;Polonia;0;0;Mexico
1;Dinamarca ;0;0;Tunes
1;Francia ;4;1;Australia 
